SRR1575270	SAMPLE25	Astyanax mexicanus	Choy_01
SRR1575271	SAMPLE36	Astyanax mexicanus	Choy_05
SRR1575272	SAMPLE12	Astyanax mexicanus	Choy_06
SRR1575273	SAMPLE1	Astyanax mexicanus	Choy_09
SRR1575274	SAMPLE34	Astyanax mexicanus	Choy_10
SRR1575275	SAMPLE31	Astyanax mexicanus	Choy_11
SRR1575276	SAMPLE4	Astyanax mexicanus	Choy_12
SRR1575277	SAMPLE29	Astyanax mexicanus	Choy_13
SRR1575278	SAMPLE21	Astyanax mexicanus	Choy_14
SRR1575279	SAMPLE30	Astyanax mexicanus	Pach_3
SRR1575280	SAMPLE33	Astyanax mexicanus	Pach_7
SRR1575281	SAMPLE32	Astyanax mexicanus	Pach_8
SRR1575282	SAMPLE6	Astyanax mexicanus	Pach_9
SRR1575283	SAMPLE8	Astyanax mexicanus	Pach_11
SRR1575284	SAMPLE38	Astyanax mexicanus	Pach_12
SRR1575285	SAMPLE23	Astyanax mexicanus	Pach_14
SRR1575286	SAMPLE2	Astyanax mexicanus	Pach_15
SRR1575287	SAMPLE27	Astyanax mexicanus	Pach_17
SRR1575288	SAMPLE42	Astyanax mexicanus	Molino_2a
SRR1575289	SAMPLE41	Astyanax mexicanus	Molino_7a
SRR1575290	SAMPLE7	Astyanax mexicanus	Molino_9b
SRR1575291	SAMPLE19	Astyanax mexicanus	Molino_10b
SRR1575292	SAMPLE18	Astyanax mexicanus	Molino_11a
SRR1575293	SAMPLE20	Astyanax mexicanus	Molino_12a
SRR1575294	SAMPLE13	Astyanax mexicanus	Molino_13b
SRR1575295	SAMPLE16	Astyanax mexicanus	Molino_14a
SRR1575296	SAMPLE11	Astyanax mexicanus	Molino_15b
SRR1575297	SAMPLE28	Astyanax mexicanus	Rascon_02
SRR1575298	SAMPLE26	Astyanax mexicanus	Rascon_04
SRR1927184	SAMPLE5	Astyanax mexicanus	Tinaja_11
SRR1927212	SAMPLE39	Astyanax mexicanus	Tinaja_6
SRR1927214	SAMPLE14	Astyanax mexicanus	Tinaja_12
SRR1927215	SAMPLE15	Astyanax mexicanus	Tinaja_B
SRR1927218	SAMPLE22	Astyanax mexicanus	Tinaja_2
SRR1927221	SAMPLE37	Astyanax mexicanus	Tinaja_C
SRR1927224	SAMPLE43	Astyanax mexicanus	Tinaja_3
SRR1927228	SAMPLE35	Astyanax mexicanus	Tinaja_D
SRR1927232	SAMPLE10	Astyanax mexicanus	Tinaja_5
SRR1927233	SAMPLE3	Astyanax mexicanus	Tinaja_E
SRR1927234	SAMPLE40	Astyanax mexicanus	Rascon_13
SRR1927235	SAMPLE17	Astyanax mexicanus	Rascon_15
SRR1927236	SAMPLE9	Astyanax mexicanus	Rascon_8
SRR1927237	SAMPLE24	Astyanax mexicanus	Rascon_6
